dataset,arm,config_sha256,wrong_to_correct,correct_to_wrong,net_correction,changed_prediction_rate,ncr,accuracy,nll,brier,ece
oxford_pets,posterior,32196dc273fa89a6423bd87b43a39983f790fb54c729dce024f250bbfeb0708d,1,1,0,0.05451076587626057,0.0,91.9051512673753,0.23266066888579584,0.11490429128408756,0.02208211239448648
oxford_pets,posterior,d256e698c88a385627e87c4f606cd7e991a33eec5a94320d0a8c2ca749d80723,2,1,1,0.08176614881439084,0.02725538293813028,91.93240665031344,0.23297148284453312,0.11498154743259043,0.022412100513906037
oxford_pets,posterior,7736544593ca1ad232b175d4ea495335118a3e544d428142ed12941f6e595f4b,2,1,1,0.08176614881439084,0.02725538293813028,91.93240665031344,0.23289174253969613,0.11494374449034093,0.02215157108090493
oxford_pets,posterior,bcbc63809f17f9f0d62b91ec8e48d38572fa0f69884f136285ee22f1bed9fd47,2,1,1,0.08176614881439084,0.02725538293813028,91.93240665031344,0.2335288345547049,0.11510160715646918,0.023203382044665072
oxford_pets,posterior,0166d964f7dd6f270a762877bb75f9fdf99de181e80b99efc89c604054a210c3,2,1,1,0.08176614881439084,0.02725538293813028,91.93240665031344,0.23336338171827084,0.1150239528476396,0.022906489461116123
stanford_cars,posterior,a849f56a0a970fd61c0414d361bc392a5c5832d36cd9ff6e54a85838a0fecf45,0,0,0,0.012436264146250466,0.0,69.74256933217261,0.943634345399521,0.404884571764336,0.05882378568171627
stanford_cars,posterior,0eefcc38f06fe1a12575ef68cd598a6d61b75ccb163571ddfbe3061208fad59f,0,0,0,0.012436264146250466,0.0,69.74256933217261,0.9436278225175379,0.40488359340609137,0.058821624214636464
stanford_cars,posterior,aefffc43babaab8eb6fcbc2475d9a71792820253c3caa607f50d9331d7772ece,0,1,-1,0.02487252829250093,-0.012436264146250466,69.73013306802636,0.9437352858862313,0.4048962576696787,0.05898044463592211
stanford_cars,posterior,1277c7d2c13875da67801ba1bf33750a03111ce816d79d517ced73b3d3ebb8da,0,1,-1,0.02487252829250093,-0.012436264146250466,69.73013306802636,0.9437221990799429,0.40489430737990584,0.05897611944740826
stanford_cars,posterior,2c043afd9daec8300e98688fa934ba86e579c3f4464ce7a217519cd399b61f9d,0,1,-1,0.0373087924387514,-0.012436264146250466,69.73013306802636,0.9439377620002368,0.4049196789001087,0.05904483709550591
stanford_cars,posterior,f6125e291cb3d163801196312b2c12d6678518454a49169fa36b75448eb41a5a,0,1,-1,0.0373087924387514,-0.012436264146250466,69.73013306802636,0.9439113745791148,0.4049157471209672,0.059036242686320475
stanford_cars,posterior,974f4b9286d70cf4e60618cde4fef315c47404c14d5f75a93d9b0c11eb2b33d9,0,1,-1,0.02487252829250093,-0.012436264146250466,69.73013306802636,0.9437352858862313,0.4048962576696787,0.05898044463592211
stanford_cars,posterior,5fc1060e7e727ae166004f5c7faf03e5d8cce54ca4fa0b2cae981bccd689e18d,0,1,-1,0.02487252829250093,-0.012436264146250466,69.73013306802636,0.9437221990799429,0.40489430737990584,0.05897611944740826
stanford_cars,posterior,f65a72582364988b015a3ad55c75860e43ef7f69d9e7acf795e41834e4f24cfc,0,1,-1,0.0373087924387514,-0.012436264146250466,69.73013306802636,0.9439377620002368,0.4049196789001087,0.05904483709550591
stanford_cars,posterior,5cfd27b18789321ca909eb75ff5aa9bdd0a06f89c1bc0052c31b72d72c122704,0,1,-1,0.0373087924387514,-0.012436264146250466,69.73013306802636,0.9439113745791148,0.4049157471209672,0.059036242686320475
stanford_cars,posterior,e708eefcb84e77c85151dd0e25aede3398ba3910999182688e186c7a9ee00bc2,1,2,-1,0.08705384902375327,-0.012436264146250466,69.73013306802636,0.9443450360219038,0.40496666105124746,0.05917351429860635
stanford_cars,posterior,d0a135beb7c6b09a54ce13c77d128e06b04edfd50077205b12dc37b8b2a10aae,1,2,-1,0.08705384902375327,-0.012436264146250466,69.73013306802636,0.944291521402065,0.4049587564716854,0.059156084339382374
stanford_cars,posterior,0a8da61da7404f9b9a107ce06e6deb0f44c6bbd0b0b3d4b2e93a490b7838c189,0,1,-1,0.0373087924387514,-0.012436264146250466,69.73013306802636,0.9439377620002368,0.4049196789001087,0.05904483709550591
stanford_cars,posterior,32196dc273fa89a6423bd87b43a39983f790fb54c729dce024f250bbfeb0708d,0,1,-1,0.0373087924387514,-0.012436264146250466,69.73013306802636,0.9439113745791148,0.4049157471209672,0.059036242686320475
stanford_cars,posterior,d256e698c88a385627e87c4f606cd7e991a33eec5a94320d0a8c2ca749d80723,1,2,-1,0.08705384902375327,-0.012436264146250466,69.73013306802636,0.9443450360219038,0.40496666105124746,0.05917351429860635
